query_file,NumberOfLines,NumberOfKeywords,Keywords, ,qlever_NumberOfResult,qlever_Class,qlever_Time,qlever_Error,  ,fuseki_NumberOfResult,fuseki_Class,fuseki_Time,fuseki_Error,   ,neptune_NumberOfResult,neptune_Class,neptune_Time,neptune_Error,    ,stardog_NumberOfResult,stardog_Class,stardog_Time,stardog_Error,     ,graphdb_NumberOfResult,graphdb_Class,graphdb_Time,graphdb_Error,      ,rdfox_NumberOfResult,rdfox_Class,rdfox_Time,rdfox_Error,       ,rdfox_adjusted_NumberOfResult,rdfox_adjusted_Class,rdfox_adjusted_Time,rdfox_adjusted_Error,        ,median,Arithmetic Mean,std,results_std
Query_011.sparql,5,3,"{'select': 1, 'where': 1, 'limit': 1}", ,200.0,Success,0.0017405,, ,200.0,Success,0.0097485,, ,200.0,Success,0.0701509,, ,200.0,Success,0.0063796,, ,200.0,Success,0.0044418,, ,200.0,Success,0.0013644,, ,200.0,Success,0.000549171,, ,0.0044418,0.013482124428571428,0.025197320191853948,0.0
Query_012.sparql,9,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}", ,,Error,600.0,"BAD QUERY (Groupby variable ?authorLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))", ,200.0,Success,9.4580345,, ,200.0,Success,2.6454981,, ,200.0,Success,4.352833,, ,200.0,Success,2.8256423,, ,200.0,Success,2.0452605,, ,200.0,Success,0.823217351,, ,2.8256423,88.87864082157147,225.40051600932665,0.0
Query_013.sparql,12,17,"{'select': 1, 'where': 1, 'PropertyPath': 2, 'optional': 3, 'filter': 3, 'bound': 1, 'TermFunc': 2, 'bind': 1, 'DateFunc': 1, 'as': 1, 'limit': 1}", ,,,0.0012374,, ,,,300.0054487,, ,,,27.7575869,, ,,,,, ,,,13.2831976,, ,,,143.6040792,, ,,,57.80064188,, ,42.779114390000004,90.40869861333333,114.77878312222327,
Query_014.sparql,5,5,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}", ,,Error,600.0,"BAD QUERY (Groupby variable ?eyeColorLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))", ,1.0,Success,45.933104400000005,, ,1.0,Success,0.1445222,, ,1.0,Success,0.0370958,, ,1.0,Success,0.0309006,, ,1.0,Success,0.0062253,, ,1.0,Success,0.002505683,, ,0.0370958,92.30776485471428,224.52349883518252,0.0
Query_015.sparql,4,3,"{'select': 1, 'where': 1, 'filter': 1}", ,,,0.0011595,, ,,,2.0550966,, ,,,0.0202323,, ,,,0.004381,, ,,,0.0036178,, ,,,0.0009781999999999,, ,,,0.000393726,, ,0.0036178,0.2979798751428571,0.774846444716336,
Query_016.sparql,2,2,"{'select': 1, 'where': 1}", ,325.0,Success,0.0015094,, ,325.0,Success,0.0056119,, ,325.0,Success,0.0180361,, ,325.0,Success,0.0049068,, ,325.0,Success,0.0031919,, ,325.0,Success,0.0010114,, ,325.0,Success,0.000407089,, ,0.0031919,0.004953512714285714,0.006093236126637872,0.0
Query_017.sparql,7,7,"{'select': 1, 'distinct': 1, 'where': 1, 'filter': 2, 'in': 1, 'StringFunc': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: [ wikibase:wikiGroup ""wikipedia"" ] .
  FILTER(?lang in ('en', 'uz', 'ru', 'ko')) .
  FILTER (!CONTAINS(?name, ':')) .
}", ,4.0,Success,0.0141297,, ,4.0,Success,0.0250002999999999,, ,4.0,Timeout,600.0,, ,4.0,Success,0.0053591,, ,4.0,Success,88.1844539,, ,4.0,Success,35.49424269,, ,35.49424269,189.10331224142857,282.4641278470615,0.0
Query_018.sparql,6,3,"{'select': 1, 'where': 1, 'limit': 1}", ,10.0,Success,0.0012886999999999,, ,10.0,Success,0.0070385,, ,10.0,Success,0.0175026,, ,10.0,Success,0.0039917,, ,10.0,Success,0.0029468999999999,, ,10.0,Success,0.0011782,, ,10.0,Success,0.000474226,, ,0.0029468999999999,0.004917260857142829,0.0059793671680029815,0.0
Query_019.sparql,9,3,"{'select': 1, 'where': 1, 'values': 1}", ,4.0,Success,0.0021439,, ,4.0,Success,36.3447181,, ,4.0,Success,0.0188593,, ,4.0,Success,0.0055792,, ,4.0,Success,0.003814,, ,4.0,Success,0.0011713,, ,4.0,Success,0.000471448,, ,0.003814,5.196679606857144,13.734995381336274,0.0
Query_020.sparql,7,6,"{'select': 1, 'distinct': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1}", ,,Error,600.0,"BAD QUERY (Groupby variable ?areaLabel is not groupable; in ../src/engine/GroupBy.cpp, line 283, function virtual void GroupBy::computeResult(ResultTable*))", ,1.0,Success,0.0101751,, ,1.0,Success,0.0193195,, ,1.0,Success,0.0059868,, ,1.0,Success,0.0034411999999999,, ,1.0,Success,0.0011801,, ,1.0,Success,0.00047499,, ,0.0059868,85.72008252714286,226.7761277438083,0.0
Query_021.sparql,7,4,"{'select': 1, 'where': 1, 'PropertyPath': 1, 'optional': 1}", ,,Error,600.0,"NOT YET IMPLEMENTED (The property path (<http://www.wikidata.org/prop/direct/P279>)* can evaluate to the empty path which is not yet supported.; in ../src/engine/QueryPlanner.cpp, line 1487, function std::vector<QueryPlanner::SubtreePlan> QueryPlanner::seedFromPropertyPathTriple(const SparqlTriple&))", ,2.0,Success,0.1407819,, ,2.0,Success,0.2494911,, ,2.0,Success,0.0538460999999999,, ,2.0,Success,0.0300881,, ,2.0,Success,0.0148282,, ,2.0,Success,0.005968351,, ,0.0538460999999999,85.78500053585712,226.7475181440752,0.0
Query_022.sparql,7,4,"{'select': 1, 'where': 1, 'values': 1, 'optional': 1}", ,2.0,Success,0.0039103,, ,2.0,Success,0.0081941,, ,2.0,Success,0.0254268,, ,2.0,Success,0.0539119,, ,2.0,Success,0.0044092,, ,2.0,Success,0.0014948,, ,2.0,Success,0.000601657,, ,0.0044092,0.013992679571428574,0.01952315177959631,0.0
Query_023.sparql,5,2,"{'select': 1, 'where': 1}", ,0.0,Success,0.0015249,Empty Response, ,0.0,Success,0.0039528,Empty Response, ,0.0,Success,0.0166733,Empty Response, ,0.0,Success,0.0040567,Empty Response, ,0.0,Success,0.0023673,Empty Response, ,0.0,Success,0.0009733999999999,Empty Response, ,0.0,Success,0.000391794,Empty Response, ,0.0023673,0.004277170571428557,0.005642864200899727,0.0
Query_024.sparql,10,3,"{'select': 1, 'where': 1, 'minus': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: [];
             pq:P5830 ?form_with_example.
  }
}", ,0.0,Success,0.0070817,Empty Response, ,0.0,Success,0.0264544,Empty Response, ,0.0,Success,0.0043625999999999,Empty Response, ,0.0,Success,0.0029276,Empty Response, ,0.0,Success,0.0014953,Empty Response, ,0.0,Success,0.000601858,Empty Response, ,0.0043625999999999,85.72041763685715,226.77598005569524,0.0
Query_025.sparql,7,4,"{'select': 1, 'distinct': 1, 'where': 1, 'values': 1}", ,,Error,600.0,"ASSERT FAILED (ad_utility::startsWith(literal, ""\"""") || ad_utility::startsWith(literal, ""'""); in ../src/parser/RdfEscaping.cpp, line 194, function std::string RdfEscaping::normalizeRDFLiteral(std::string_view))", ,0.0,Success,0.0066285,Empty Response, ,0.0,Success,0.0182697,Empty Response, ,0.0,Success,0.0041012,Empty Response, ,0.0,Success,0.0032067,Empty Response, ,0.0,Success,0.0011005,Empty Response, ,0.0,Success,0.000442951,Empty Response, ,0.0041012,85.71910707871429,226.7765578631767,0.0
Query_026.sparql,5,3,"{'select': 1, 'where': 1, 'Order': 1}", ,0.0,Success,0.0015459,Empty Response, ,0.0,Success,0.0068179,Empty Response, ,0.0,Success,0.0171183,Empty Response, ,0.0,Success,0.0037141,Empty Response, ,0.0,Success,0.0024935,Empty Response, ,0.0,Success,0.0010099,Empty Response, ,0.0,Success,0.000406485,Empty Response, ,0.0024935,0.0047294407142857145,0.0058670507205582905,0.0
Query_027.sparql,4,2,"{'select': 1, 'where': 1}", ,0.0,Success,0.0014618,Empty Response, ,0.0,Success,0.006636,Empty Response, ,0.0,Success,0.0166389999999999,Empty Response, ,0.0,Success,0.0039071,Empty Response, ,0.0,Success,0.0023299,Empty Response, ,0.0,Success,0.0009168,Empty Response, ,0.0,Success,0.000369012,Empty Response, ,0.0023299,0.004608515999999986,0.005715932334279182,0.0
Query_028.sparql,6,3,"{'select': 1, 'where': 1, 'minus': 1}", ,0.0,Success,0.0043498999999999,Empty Response, ,0.0,Success,0.0069816,Empty Response, ,0.0,Success,0.0181363,Empty Response, ,0.0,Success,0.0036678,Empty Response, ,0.0,Success,0.002772,Empty Response, ,0.0,Success,0.0010329,Empty Response, ,0.0,Success,0.000415742,Empty Response, ,0.0036678,0.005336605999999986,0.006049940298960425,0.0
Query_029.sparql,4,4,"{'select': 1, 'where': 1, 'filter': 1, 'StringFunc': 1}", ,,Error,600.0,"ASSERT FAILED (ad_utility::startsWith(literal, ""\"""") || ad_utility::startsWith(literal, ""'""); in ../src/parser/RdfEscaping.cpp, line 194, function std::string RdfEscaping::normalizeRDFLiteral(std::string_view))", ,0.0,Success,0.0067747,Empty Response, ,0.0,Success,0.0169223,Empty Response, ,0.0,Success,0.00352,Empty Response, ,0.0,Success,0.0022876,Empty Response, ,0.0,Success,0.0009542999999999,Empty Response, ,0.0,Success,0.000384106,Empty Response, ,0.00352,85.71869185800001,226.7767409494836,0.0
Query_030.sparql,8,2,"{'select': 1, 'where': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: [];
             pq:P5830 [].
}", ,0.0,Success,0.0066468,Empty Response, ,0.0,Success,0.0170627,Empty Response, ,0.0,Success,0.0036024,Empty Response, ,0.0,Success,0.0024485,Empty Response, ,0.0,Success,0.0009515,Empty Response, ,0.0,Success,0.000382979,Empty Response, ,0.0036024,85.71872783985715,226.77672508363656,0.0
Query_031.sparql,8,5,"{'select': 1, 'distinct': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: lcase(?lemma) # order a-z", ,0.0,Success,0.0067452,Empty Response, ,0.0,Success,0.0170307,Empty Response, ,0.0,Success,0.0040913,Empty Response, ,0.0,Success,0.0026214,Empty Response, ,0.0,Success,0.0010272999999999,Empty Response, ,0.0,Success,0.000413488,Empty Response, ,0.0040913,85.71884705542857,226.77667251314142,0.0
Query_032.sparql,23,11,"{'select': 1, 'distinct': 1, 'where': 1, 'minus': 2, 'values': 2, 'filter': 1, 'notexists': 1, 'Order': 1, 'StringFunc': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: NOT EXISTS {?sense wdt:P6191 ?filter.}.
  # if you wish to only browse certain items you can insert a FILTER 
  # regular expression here, like in the example above.
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""de,en"". }
}
order by lcase(?lemma) # order a-z", ,0.0,Success,0.0072701,Empty Response, ,0.0,Success,0.0222112,Empty Response, ,0.0,Success,0.0061691,Empty Response, ,0.0,Success,0.0031236,Empty Response, ,0.0,Success,0.001186,Empty Response, ,0.0,Success,0.000477365,Empty Response, ,0.0061691,85.72006248071429,226.77613660971105,0.0
Query_033.sparql,8,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}", ,,Error,600.0,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry; dct:language ?language.
  ?l p:P5831 ?statement.
  ?statement ps:P5831 ?example;
             pq:P6072 [];
             pq:P5830 [].
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
GROUP BY ?languageLabel
ORDER BY DESC(?count)", ,0.0,Success,0.0067475999999999,Empty Response, ,0.0,Success,0.0171139999999999,Empty Response, ,1.0,Success,0.0043382,, ,0.0,Success,0.0024435,Empty Response, ,0.0,Success,0.0015252999999999,Empty Response, ,0.0,Success,0.000613933,Empty Response, ,0.0043382,85.71896893328572,226.7766187687104,0.408248290463863
Query_034.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry; 
       dct:language ?language; 
       wikibase:lemma ?lemma .
  ?l wdt:P31 wd:Q376431.
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
ORDER BY ?languageLabel", ,0.0,Success,0.0065017999999999,Empty Response, ,0.0,Success,0.0162238,Empty Response, ,0.0,Success,0.0034853999999999,Empty Response, ,0.0,Success,0.0021693999999999,Empty Response, ,0.0,Success,0.000967,Empty Response, ,0.0,Success,0.000389218,Empty Response, ,0.0034853999999999,85.71853380257143,226.77681063936993,0.0
Query_035.sparql,7,4,"{'select': 1, 'where': 1, 'Order': 1, 'StringFunc': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry ; # get from the special LexicalEntry
       ontolex:sense ?sense ; # the sense
       dct:language ?language ; # the language
       wikibase:lemma ?lemma. # and the lemma
  ?sense wdt:P5137 wd:Q29053744 .
                   # change Q29053744 to anything you want 
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}
# Lower case before order
order by (LCASE(?languageLabel))", ,0.0,Success,0.0069364,Empty Response, ,0.0,Success,0.0176287,Empty Response, ,0.0,Success,0.0039524,Empty Response, ,0.0,Success,0.0023629,Empty Response, ,0.0,Success,0.0013544,Empty Response, ,0.0,Success,0.000545146,Empty Response, ,0.0039524,85.71896856371428,226.77661893767907,0.0
Query_036.sparql,8,8,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2, 'limit': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry ; 
        ontolex:sense ?sense. # get the sense
  ?sense wdt:P5137 ?meaning. #extract the meaning
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en""}
}
group by ?meaning ?meaningLabel # 2 here to avoid ""bad aggregate"", see https://www.wikidata.org/wiki/Wikidata:SPARQL_tutorial#Painting_materials
order by desc(?count) # rank by the most translated concepts 
limit 100 # only show the 100 highest to avoid clutter", ,0.0,Success,0.0068581,Empty Response, ,0.0,Success,0.0166246,Empty Response, ,1.0,Success,0.0038203,, ,0.0,Success,0.0022596,Empty Response, ,0.0,Success,0.0014452,Empty Response, ,0.0,Success,0.000581693,Empty Response, ,0.0038203,85.71879849900002,226.7766939203825,0.408248290463863
Query_037.sparql,8,2,"{'select': 1, 'where': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: a ontolex:LexicalEntry ; 
       dct:language ?language ;
       wikibase:lemma ?lemma .
  ?language wdt:P218 'sv'. # language
  ?l ontolex:sense ?sense.
     ?sense wdt:P6271 ?demoPlace.
  ?demoPlace wdt:P625 ?coords
  #SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en"". }
}", ,0.0,Success,0.0063071,Empty Response, ,0.0,Success,0.0164049,Empty Response, ,0.0,Success,0.0037782,Empty Response, ,0.0,Success,0.0023652,Empty Response, ,0.0,Success,0.0009646,Empty Response, ,0.0,Success,0.000388252,Empty Response, ,0.0037782,85.71860117885714,226.77678092984982,0.0
Query_038.sparql,8,2,"{'select': 1, 'where': 1}", ,0.0,Success,0.0281233,Empty Response, ,0.0,Success,0.0059107,Empty Response, ,0.0,Success,0.0172137,Empty Response, ,0.0,Success,0.0035965999999999,Empty Response, ,0.0,Success,0.0021672999999999,Empty Response, ,0.0,Success,0.0013908,Empty Response, ,0.0,Success,0.000559797,Empty Response, ,0.0035965999999999,0.00842317099999997,0.010371431879402543,0.0
Query_039.sparql,4,4,"{'select': 1, 'Order': 2, 'limit': 1}", ,,Error,600.0,"ParseException, cause: Error in SELECT: unexpected token: *", ,0.0,Success,0.0057529999999999,Empty Response, ,0.0,Success,0.0158402,Empty Response, ,0.0,Success,0.003329,Empty Response, ,0.0,Success,0.0018885,Empty Response, ,0.0,Success,0.0009375,Empty Response, ,0.0,Success,0.000377344,Empty Response, ,0.003329,85.71830364914284,226.77691212447542,0.0
Query_040.sparql,3,2,"{'select': 1, 'where': 1}", ,740.0,Success,0.0025087,, ,740.0,Success,0.0721435,, ,740.0,Success,0.0358643,, ,740.0,Success,0.0089256,, ,740.0,Success,0.0087031,, ,740.0,Success,0.0027574,, ,740.0,Success,0.001109854,, ,0.0087031,0.018858922,0.02636872808538784,0.0
Query_041.sparql,2,4,"{'select': 1, 'distinct': 1, 'where': 1, 'PropertyPath': 1}", ,,Error,600.0,"NOT YET IMPLEMENTED (The property path (<http://www.wikidata.org/prop/direct/P1647>)* can evaluate to the empty path which is not yet supported.; in ../src/engine/QueryPlanner.cpp, line 1487, function std::vector<QueryPlanner::SubtreePlan> QueryPlanner::seedFromPropertyPathTriple(const SparqlTriple&))", ,39.0,Success,0.0061938,, ,39.0,Success,0.0192584,, ,39.0,Success,0.0032905,, ,39.0,Success,0.0024281,, ,39.0,Success,0.001633,, ,39.0,Success,0.000657283,, ,0.0032905,85.719065869,226.77657604453373,0.0
Query_042.sparql,5,7,"{'select': 1, 'SetFunc': 1, 'as': 1, 'where': 1, 'groupby': 1, 'Order': 2}", ,17.0,Success,0.0016166,, ,17.0,Success,0.0899729,, ,17.0,Success,0.1466736,, ,17.0,Success,0.0252836,, ,17.0,Success,0.0426208,, ,17.0,Success,0.0100656,, ,17.0,Success,0.004051404,, ,0.0252836,0.045754929142857136,0.054052149942110016,0.0
Query_043.sparql,4,3,"{'select': 1, 'distinct': 1, 'where': 1}", ,107.0,Success,0.0019696,, ,107.0,Success,0.2511029,, ,107.0,Success,41.1258514,, ,107.0,Success,0.0728229,, ,107.0,Success,0.1403905999999999,, ,107.0,Success,0.0119032,, ,107.0,Success,0.004791038,, ,0.0728229,5.944118805428571,15.513950972403277,0.0
Query_044.sparql,3,6,"{'select': 1, 'where': 1, 'Order': 2, 'StringFunc': 1, 'TermFunc': 1}", ,,Error,600.0,"ParseException, cause: Expected a token of type AGGREGATE but got a token of type IRI (xsd:integer) in the input at pos 2029 : xsd:integer(STRAFTER(STR(?property), 'P')))", ,9346.0,Success,0.32792,, ,9346.0,Success,0.1927857,, ,9346.0,Success,0.1064947,, ,9346.0,Success,0.4070446,, ,9346.0,Success,0.0241804,, ,9346.0,Success,0.009732611,, ,0.1927857,85.86687971585711,226.71144478489728,0.0
Query_045.sparql,6,10,"{'select': 1, 'SetFunc': 1, 'as': 1, 'PropertyPath': 4, 'groupby': 1, 'Order': 2}", ,,Error,600.0,"This parser currently doesn't support COUNT(*), please specify an explicit expression for the COUNT", ,,Timeout,600.0,Query timed out, ,,Timeout,600.0,"{""code"":""TimeLimitExceededException"",""requestId"":""72bf723c-4476-86e6-57d3-44a0f307f6d6"",""detailedMessage"":""Operation terminated (deadline exceeded)""}", ,,Timeout,600.0,com.complexible.stardog.plan.eval.operator.OperatorException$Cancelled: Query execution cancelled: Execution time exceeded query timeout 300000, ,1.0,Timeout,600.0,, ,,Timeout,600.0,Request exceeded the time limit of 300000 ms., ,,Timeout,600.0,Request exceeded the time limit of 300000 ms., ,600.0,600.0,0.0,
Query_046.sparql,4,2,"{'select': 1, 'where': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: [ prov:wasDerivedFrom [ pr:P958 ?reference ] ] .
}", ,14591.0,Success,0.5386605,, ,14591.0,Success,0.3593834,, ,14591.0,Success,1.5969146,, ,14591.0,Success,0.2043886999999999,, ,14591.0,Success,0.100965,, ,14591.0,Success,0.040638413,, ,0.3593834,86.12013580185713,226.60033779551256,0.0
Query_047.sparql,4,2,"{'select': 1, 'where': 1}", ,203.0,Success,0.0019089999999999,, ,203.0,Success,0.2692294,, ,203.0,Success,0.2898133,, ,203.0,Success,0.0135323,, ,203.0,Success,0.0597465,, ,203.0,Success,0.0387228,, ,203.0,Success,0.015585927,, ,0.0387228,0.09836274671428573,0.12533182433034068,0.0
Query_048.sparql,12,19,"{'select': 2, 'where': 2, 'SetFunc': 1, 'as': 1, 'PropertyPath': 2, 'minus': 3, 'filter': 1, 'notexists': 1, 'groupby': 1, 'Order': 4, 'limit': 1}", ,,Error,600.0,"ParseException, cause: Unexpected input: NOT EXISTS {
    ?article schema:about ?item .
    ?article schema:isPartOf <https://en.wikipedia.org/> . #Targeting Wikipedia language where subjects has no article.
  }
  } GROUP BY ?item ORDER BY DESC (?cnt) LIMIT 1000 #Sorted by amount of articles in other languages. Result limited to 1000 lines to not have a timeout error.
}
#SERVICE wikibase:label { bd:serviceParam wikibase:language ""[AUTO_LANGUAGE],en,fr,es,de"" }  #Service to resolve labels in (fallback) languages: automatic user language, English, French, Spanish, German.
} ORDER BY DESC (?cnt)", ,,Timeout,600.0,Query timed out, ,1000.0,Success,18.2223003,, ,,Timeout,600.0,com.complexible.stardog.plan.eval.operator.OperatorException$Cancelled: Query execution cancelled: Execution time exceeded query timeout 300000, ,1000.0,Success,13.4052374,, ,1000.0,Success,3.3119931,, ,1000.0,Success,1.333077223,, ,18.2223003,262.324658289,315.9179520556106,0.0
Query_049.sparql,6,3,"{'select': 1, 'where': 1, 'Order': 1}", ,,Error,600.0,"CHECK FAILED (Variable could not be mapped to result column. Var: ?itemLabel; in ../src/engine/QueryExecutionTree.cpp, line 77, function size_t QueryExecutionTree::getVariableColumn(const string&) const)", ,,Timeout,600.0,Query timed out, ,2.0,Success,0.2759126,, ,2.0,Success,0.1441905,, ,2.0,Success,0.0535412,, ,2.0,Success,0.0286774,, ,2.0,Success,0.011542654,, ,0.1441905,171.50198062200002,292.71988750341376,0.0
